                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80857,                 1.4502,                 2.7001,                 1.3519,                0.08311,                0.66284,                0.26096,                0.13678,                0.08311,                0.66284,                0.26096,                0.16658,                0.96591,                0.92807,                 9.9897,                 1.6582,             0.00036446,             0.00036446,             0.00036446
                      2,                 1.0034,                 1.4113,                 2.3748,                 1.4084,                0.45571,                0.55175,                0.28193,                0.15155,                0.45571,                0.55175,                0.28193,                 0.2004,                 1.6567,                 1.8013,                 10.835,                 2.8619,             0.00072024,             0.00072024,             0.00072024
                      3,                 1.1134,                  1.286,                 2.2411,                 1.4806,                0.31246,                   0.52,                0.20162,                0.08837,                0.31246,                   0.52,                0.20702,                0.12519,                 1.1609,                 1.0808,                 12.703,                 2.2189,              0.0010614,              0.0010614,              0.0010614
                      4,                 1.0956,                 1.5353,                 2.3258,                 1.5231,                0.40803,                    0.4,                0.32683,                0.24634,                0.40803,                    0.4,                0.33346,                 0.2815,                 1.3789,                0.93972,                 10.048,                 3.0524,               0.001045,               0.001045,               0.001045
                      5,                 1.1484,                 1.3649,                  2.166,                 1.5377,                0.09003,                   0.36,                0.17875,                0.13118,                0.10061,                   0.48,                0.18251,                0.12313,                 1.0372,                 1.4115,                 19.184,                 1.9259,               0.001045,               0.001045,               0.001045
                      6,                 1.0743,                 1.3034,                  2.055,                 1.4887,                0.20109,                   0.32,                0.21444,                0.16073,                0.20109,                   0.32,                0.21444,                0.17393,                0.83191,                0.77903,                 5.8776,                  1.851,               0.001023,               0.001023,               0.001023
                      7,                0.98243,                 1.1746,                  1.866,                 1.4001,                0.22308,                    0.4,                0.06556,                0.04504,                0.22308,                    0.4,                0.06556,                0.05359,                0.95341,                0.86084,                 5.9964,                 1.7793,               0.001001,               0.001001,               0.001001
                      8,                0.90404,                 1.1438,                 1.6645,                 1.3352,                0.29629,                    0.2,                0.19971,                0.11857,                0.29629,                    0.2,                0.19971,                0.14231,                0.97121,                0.84518,                 7.3899,                 1.8489,             0.00097901,             0.00097901,             0.00097901
                      9,                0.86456,                0.98928,                 1.5086,                 1.2985,                 0.1423,                0.19766,                0.20836,                 0.1508,                 0.1423,                0.19766,                0.20059,                 0.1752,                0.86441,                0.81505,                 4.9657,                 1.6887,             0.00095702,             0.00095702,             0.00095702
                     10,                0.90224,                 1.1866,                 1.4259,                 1.3561,                0.78106,                    0.2,                0.30693,                0.23438,                0.78106,                    0.2,                0.30693,                0.25334,                0.76612,                0.67017,                 4.2259,                 1.5954,             0.00093502,             0.00093502,             0.00093502
                     11,                0.88645,                 1.0431,                 1.3945,                 1.2998,                0.39738,                    0.2,                0.21417,                0.17561,                0.39738,                    0.2,                0.21417,                0.18141,                0.66429,                0.68637,                 6.0689,                 1.4092,             0.00091302,             0.00091302,             0.00091302
                     12,                0.79673,                 1.0475,                 1.3321,                  1.272,                0.39755,                    0.2,                 0.2837,                0.23222,                0.39755,                    0.2,                 0.2837,                0.24396,                0.63307,                0.72386,                 5.6807,                 1.3305,             0.00089102,             0.00089102,             0.00089102
                     13,                0.83697,                 1.0826,                 1.2987,                 1.2721,                0.39778,                    0.2,                0.31654,                0.23402,                0.39778,                    0.2,                0.31654,                0.27844,                0.92476,                0.66104,                 4.2892,                 1.6588,             0.00086902,             0.00086902,             0.00086902
                     14,                0.80016,                0.97347,                 1.1963,                 1.2498,                0.39687,                    0.2,                0.25878,                0.21543,                0.39687,                    0.2,                0.25878,                0.22793,                0.63572,                0.62615,                 5.4564,                 1.4152,             0.00084703,             0.00084703,             0.00084703
                     15,                0.80914,                0.95199,                 1.2732,                 1.2825,                0.20049,                0.27838,                0.30776,                0.23694,                0.20049,                0.27838,                0.30776,                0.27647,                0.66985,                0.63628,                 4.2709,                  1.334,             0.00082503,             0.00082503,             0.00082503
                     16,                0.76365,                 1.0005,                 1.2704,                 1.2298,                0.19702,                    0.2,                0.28714,                0.22288,                0.19702,                    0.2,                0.28714,                 0.2349,                0.56938,                0.68104,                 4.9962,                 1.3149,             0.00080303,             0.00080303,             0.00080303
                     17,                0.73095,                 0.9575,                 1.1604,                 1.1928,                0.19522,                    0.2,                0.29032,                0.23587,                0.19522,                    0.2,                0.29032,                0.25334,                0.62186,                0.69372,                 4.6223,                 1.3784,             0.00078103,             0.00078103,             0.00078103
                     18,                0.74209,                 1.0294,                 1.0729,                 1.1835,                0.19777,                    0.2,                0.37561,                0.32078,                0.19777,                    0.2,                0.37561,                0.32894,                0.65729,                0.68604,                 4.5254,                  1.349,             0.00075904,             0.00075904,             0.00075904
                     19,                0.78537,                0.99917,                 1.1066,                 1.2347,                0.18498,                    0.2,                0.26864,                0.22251,                0.18498,                    0.2,                0.26864,                0.24313,                0.71098,                0.63672,                 5.3783,                 1.4367,             0.00073704,             0.00073704,             0.00073704
                     20,                0.78101,                0.92533,                 1.1095,                 1.2229,                0.19804,                    0.2,                 0.2778,                0.23947,                0.19804,                    0.2,                 0.2778,                0.24145,                0.62118,                0.64456,                 5.2212,                 1.3472,             0.00071504,             0.00071504,             0.00071504
                     21,                0.68112,                0.92278,                0.96406,                 1.1667,                0.19769,                    0.2,                0.25416,                0.22067,                0.19769,                    0.2,                0.25416,                 0.2201,                0.62604,                0.68838,                 5.2105,                  1.381,             0.00069304,             0.00069304,             0.00069304
                     22,                0.70252,                0.90874,                 1.0791,                 1.1957,                 0.1977,                    0.2,                0.29227,                0.21522,                 0.1977,                    0.2,                0.29227,                0.23609,                0.78855,                0.63646,                 5.3449,                 1.6099,             0.00067104,             0.00067104,             0.00067104
                     23,                0.84451,                 1.0015,                 1.1123,                 1.2709,                0.19336,                    0.2,                0.27679,                0.20196,                0.19336,                    0.2,                0.27679,                0.24124,                0.77384,                0.67596,                 5.3412,                 1.5263,             0.00064905,             0.00064905,             0.00064905
                     24,                0.74834,                0.95572,                0.98724,                 1.2057,                0.22064,                    0.4,                0.31283,                0.25805,                0.22064,                    0.4,                0.31283,                0.27788,                0.66487,                0.63288,                 4.7641,                 1.3677,             0.00062705,             0.00062705,             0.00062705
                     25,                0.80588,                 1.0911,                 1.0234,                 1.2693,                0.19819,                    0.2,                0.24761,                0.19902,                0.19819,                    0.2,                0.24761,                0.21326,                 0.6178,                 0.6618,                 5.4217,                 1.3193,             0.00060505,             0.00060505,             0.00060505
                     26,                0.75163,                 1.0243,                 1.0724,                 1.2047,                0.19925,                0.23694,                0.25749,                0.20368,                0.19925,                0.23694,                0.25749,                0.22564,                0.58491,                0.63779,                 5.5021,                 1.2645,             0.00058305,             0.00058305,             0.00058305
                     27,                0.78645,                 1.0159,                 1.0081,                 1.2418,                0.19819,                    0.2,                0.33157,                0.23856,                0.19819,                    0.2,                0.33157,                 0.2703,                0.69083,                0.66182,                 5.3536,                 1.3634,             0.00056105,             0.00056105,             0.00056105
                     28,                0.72045,                0.97861,                 1.0439,                 1.1641,                0.19782,                    0.2,                0.29558,                0.24532,                0.19782,                    0.2,                0.30204,                0.25438,                 0.7659,                 0.6587,                 4.8749,                 1.4878,             0.00053906,             0.00053906,             0.00053906
                     29,                0.71588,                0.98891,                 1.0048,                 1.1789,                 0.1982,                    0.2,                0.27727,                0.23413,                 0.1982,                    0.2,                0.27727,                0.24244,                0.66949,                0.63685,                 5.4215,                 1.3232,             0.00051706,             0.00051706,             0.00051706
                     30,                0.67361,                0.90934,                0.88283,                 1.1669,                0.19826,                    0.2,                  0.199,                0.16945,                0.19826,                    0.2,                  0.199,                 0.1791,                0.66131,                0.69537,                 5.5511,                 1.3101,             0.00049506,             0.00049506,             0.00049506
                     31,                0.68518,                0.94548,                0.94843,                 1.1603,                 0.1983,                    0.2,                0.20931,                 0.1765,                 0.1983,                    0.2,                0.20931,                0.17787,                0.57023,                0.74126,                 5.4191,                 1.2702,             0.00047306,             0.00047306,             0.00047306
                     32,                0.73729,                0.97704,                0.93792,                 1.2071,                    0.2,                0.23804,                0.24875,                 0.2101,                    0.2,                0.23804,                0.24875,                0.21278,                 0.5767,                0.63854,                 5.3433,                 1.2515,             0.00045107,             0.00045107,             0.00045107
                     33,                0.67998,                0.91312,                0.86969,                 1.1577,                  0.198,                    0.2,                0.22682,                0.18765,                  0.198,                    0.2,                0.22682,                0.20545,                0.55953,                0.61257,                 5.2114,                 1.2041,             0.00042907,             0.00042907,             0.00042907
                     34,                0.65884,                0.86995,                0.86951,                 1.1623,                0.19827,                    0.2,                0.22915,                0.18831,                0.19827,                    0.2,                0.22915,                0.19977,                0.51182,                0.58524,                 5.2501,                 1.2005,             0.00040707,             0.00040707,             0.00040707
                     35,                0.64342,                0.88296,                0.83631,                 1.1223,                0.19826,                    0.2,                0.24875,                0.20749,                0.19826,                    0.2,                0.24875,                0.22289,                0.56677,                0.58746,                  5.393,                 1.2971,             0.00038507,             0.00038507,             0.00038507
                     36,                0.66245,                0.86848,                0.81159,                 1.1252,                0.19817,                    0.2,                0.24226,                0.20809,                0.19817,                    0.2,                0.24226,                0.21493,                0.53945,                0.60378,                 5.1455,                 1.2248,             0.00036307,             0.00036307,             0.00036307
                     37,                0.66687,                0.87181,                0.82848,                 1.1375,                0.19819,                    0.2,                0.23454,                0.20502,                0.19819,                    0.2,                0.23454,                0.20923,                0.49891,                 0.5911,                  5.208,                 1.1645,             0.00034108,             0.00034108,             0.00034108
                     38,                0.59257,                0.86298,                0.71905,                 1.0846,                0.19821,                    0.2,                 0.2388,                0.21144,                0.19821,                    0.2,                 0.2388,                0.21277,                0.46688,                0.61145,                 5.2041,                 1.1432,             0.00031908,             0.00031908,             0.00031908
                     39,                0.57953,                0.91687,                0.71682,                 1.0947,                0.19826,                    0.2,                0.24638,                0.21445,                0.19826,                    0.2,                0.24638,                 0.2215,                0.47691,                0.57721,                 5.2942,                 1.1529,             0.00029708,             0.00029708,             0.00029708
                     40,                 0.6146,                 0.9072,                0.80512,                 1.1158,                0.19829,                    0.2,                0.24875,                0.22108,                0.19829,                    0.2,                0.24875,                0.22235,                0.47349,                0.59274,                 5.1691,                 1.1722,             0.00027508,             0.00027508,             0.00027508
                     41,                0.48966,                0.61757,                0.49536,                   1.16,                0.19823,                    0.2,                0.22451,                0.19272,                0.19823,                    0.2,                0.22451,                0.20151,                0.51252,                0.60029,                 5.4892,                 1.1879,             0.00025309,             0.00025309,             0.00025309
